ID,タイトル,公開日,カテゴリ,トピック,人事区分,JA名,人事異動の発効日,都道府県,全国連人事,サムネイル,記事本文へのサムネイル表示について,概要,内容,ページ
240603-74504,【役員人事】三菱マヒンドラ農機（6月27日付）,202406030931,JAの人事,,,,,,,jinji/images/da2ba8af4eee46c98b93bfec8bb14538.jpg,,三菱マヒンドラ農は、6月27日付の役員人事を発表した。,,"<p>【新任】<br /> ▽菱農資産管理（株）代表取締役社長　行岡正恭</p>
<p>※敬称略</p>"
240603-74510,【ＪＡ人事】ＪＡなすの（栃木）新組合長に渡邉一夫氏（5月29日）,202406031300,JAの人事,"単協,栃木県",,,,栃木県,,jinji/images/627f93c9b0b51aba1fead7ae4dfb976d.jpg,,ＪＡなすの（栃木）は5月29日に第28回総代会を開き、役員の改選を行った。伊藤順久氏に代わって、渡邉一夫組合長が選任された。,,"<p class=""imgRight"" style=""text-align: center;""><img alt=""ＪＡなすの渡邉組合長.jpg"" src=""https://www.jacom.or.jp/jinji/images/ee27b3d3c2972ede41c699bf4c8065f9.jpg"" width=""210"" height=""300"" /><span class=""imgRight__cap"">ＪＡなすの・渡邉一夫組合長</span></p>
<p>【ＪＡなすの　役員】（敬称略）</p>
<p>▽代表理事組合長　渡邉一夫（新任）<strong>＝写真</strong></p>
<p>▽代表理事専務　田代和彦</p>
<p>▽常務理事（総務経済担当）　後藤靖（新任）</p>
<p>▽常務理事（金融共済担当）　平井正美</p>
<p>▽代表監事　中川敦雄（新任）</p>
<p>▽常勤監事　相馬賢市</p>
<p><a href=""https://www.jacom.or.jp/special/personnel/2024/""><img alt=""人事"" src=""https://www.jacom.or.jp/jinji/images/cd0a2488ebebf231b8deb92fcf15eb84.png"" width=""728"" height=""91"" class=""mt-image-center"" /></a></p>"
240604-74526,【人事異動】J‐オイルミルズ（6月20日付）,202406040850,JAの人事,,,,,,,jinji/images/57eaacbbee4dca327f8cef8470326aaf.jpg,,J‐オイルミルズは、6月20日付のグループ会社の人事異動を発表した。,,"<p>【新任】<br /> ▽株式会社J-NIKKAパートナーズ代表取締役社長（株式会社J-NIKKAパートナーズ）髙橋譲</p>
<p>※敬称略</p>"
240604-74527,【人事異動】J‐オイルミルズ（7月1日付）,202406040851,JAの人事,,,,,,,jinji/images/57eaacbbee4dca327f8cef8470326aaf.jpg,,J‐オイルミルズは、7月1日付の人事異動を発表した。,,"<p>【異動】<br /> ▽常務執行役員CSO　経営企画担当（常務執行役員CSO　経営企画担当 兼 経営企画部長）春山裕一郎<br /> ▽経営企画部長（法務・総務部長）中林明彦<br /> ▽法務・総務部長（財務部）渡辺光祐</p>
<p>※敬称略</p>"
240604-74536,【ＪＡ人事】ＪＡ松本ハイランド（長野県）田中均組合長を再任（5月29日）,202406041300,JAの人事,"単協,長野県",,,,長野県,,jinji/images/ea8c0a9069dedc8def4d54cd56e38b47.jpg,,ＪＡ松本ハイランド（長野県）は5月29日に第33回総代会を開き、役員の改選を行った。田中均組合長が再任された。,,"<p>【ＪＡ松本ハイランド　役員】<br />（敬称略）</p>
<p>▽代表理事組合長　田中均</p>
<p>▽代表理事専務理事　平沢昭久</p>
<p>▽常務理事　小野靖彦（新任）</p>
<p>▽常務理事　上條滿</p>
<p>▽常務理事　神田温躬（新任）</p>
<p>▽代表監事　小松丈史（新任）</p>
<p>▽代表監事代理　中川眞（新任）</p>
<p>▽常勤監事　髙梨雅浩（新任）</p>"
240604-74537,【ＪＡ人事】ＪＡにったみどり（群馬県）　新組合長に新井順一氏（5月28日）,202406041305,JAの人事,"単協,群馬県",,,,群馬県,,jinji/images/b1bdbe67fc099c4f91be465f906bbd73.jpg,,ＪＡにったみどり（群馬県）は5月28日に総代会を開き役員の選任を行った。新組合長に新井順一氏が選任された。,,"<p class=""imgRight""><img alt=""新井新組合長"" src=""https://www.jacom.or.jp/jinji/images/8e4046ed9e60c6833d24e2767fcdeb95.jpg"" width=""200"" height=""300"" /><span class=""imgRight__cap"" style=""color: #808080; font-size: 14px; display: block; text-align: center;"">新井順一　代表理事組合長</span></p>
<p>【ＪＡにったみどり　役員】<br />（敬称略）</p>
<p>▽代表理事組合長　新井順一（新任）</p>
<p>▽代表理事専務　丸山忠（新任）</p>
<p>▽常務理事　別井俊倫</p>
<p>▽同　保坂和久</p>
<p>▽同　高橋尚彦（新任）</p>
<p>▽常勤監事　星野伸司（新任）</p>
<p><strong>【組合長略歴】</strong><br />（あらい・じゅんいち）昭和32年2月生まれ。農業。野菜集出荷所運営委員会監事（平成29年～）、ＪＡにったみどり監事（平成27年～30年）、ＪＡにったみどり副組合長（平成30年～）、桐生地区農業振興連絡協議会会長（令和4年～）</p>
<p> </p>"
240605-74568,【人事異動】農業・農協問題研究所（6月1日付）　新理事長に磯田宏九大教授,202406051305,JAの人事,,,,,,,jinji/images/JINJI01_1600_900.jpg,,農業・農協問題研究所は6月1日の総会で役員の選任を行った。田代洋一理事長の退任にともない、新理事長に九州大学の磯田宏教授が選任された。,,"<p>▽理事長　磯田宏（九州大学教授）　新任</p>
<p>▽副理事長　信川幸之助（全農協労連中央副執行委員長）　留任</p>
<p>▽事務局長　北原克宣（立正大学教授）　留任</p>"
240605-74569,【ＪＡ人事】ＪＡ佐久浅間（長野県）新組合長に髙栁利道氏（5月28日）,202406051300,JAの人事,"単協,長野県",,,,長野県,,jinji/images/49a9a917dbdd2a87481fef718a8e548d.jpg,,ＪＡ佐久浅間（長野県）は5月28日に第25回総代会を開き、役員の改選を行った。浅沼博氏に代わって、髙栁利道組合長が選任された。,,"<p class=""imgRight""><img alt=""髙栁組合長"" src=""https://www.jacom.or.jp/jinji/images/20b96b9f7651d5d63e204f0ded333fa0.jpg"" width=""200"" height=""300"" /><span class=""imgRight__cap"" style=""color: #808080; font-size: 14px; display: block; text-align: center;"">代表理事組合長　髙栁利道氏</span></p>
<p>【ＪＡ佐久浅間　役員】<br />（敬称略）</p>
<p>▽代表理事組合長　髙栁利道（新任）＝写真</p>
<p>▽代表理事専務理事　栁澤正（新任）</p>
<p>▽常務理事（金融・共済担当）　小林清</p>
<p>▽常務理事（生産担当）　茂木秀二（新任）</p>
<p>▽代表監事　井出健一（新任）</p>
<p>▽常勤監事　塩川隆幸（新任）</p>
<p><strong>【新組合長略歴】</strong></p>
<p>昭和29年１月生まれ、70歳。昭和47年望月町農業協同組合入組、平成24年３月佐久浅間農業協同組合退職、４月ＪＡ佐久浅間株式会社グリーンフィールド代表取締役社長、令和３年４月同退任、３年５月佐久浅間農業協同組合代表理事副組合長、６年５月同代表理事組合長。</p>"
240610-74638,【役員人事】ＪＡカード（6月25日付）,202406100956,JAの人事,,,,,,,jinji/images/JINJI01_1600_900.jpg,,ＪＡカードは、6月25日付の役員人事を発表した。,,"<p>【異動】<br /> ▽代表取締役副社長（三菱UFJニコス株式会社執行役員）纐纈大輔</p>
<p>※敬称略</p>"
240610-74646,【役員人事】農中情報システム（6月28日付）,202406101022,JAの人事,,,,,,,jinji/images/28d8c5346a08f27daeb6148d95fe2094_1.jpg,,農中情報システムは、6月28日付の役員人事を発表した。,,"<p>【就任】<br /> ▽取締役（執行役員管理部長）伊藤誠義<br /> ▽監査役（執行役員開発二部長）田中良智</p>
<p>※敬称略</p>"
240610-74648,【ＪＡ人事】ＪＡえちご中越（新潟県）吉田文彦会長、山口浩聡理事長を再任（4月26日）,202406101300,JAの人事,"単協,新潟県",,,,新潟県,,jinji/images/d5e3349ff3e7a7d8d86dd21fe2cf9ac4.jpg,,ＪＡえちご中越（新潟県）は4月26日に第2回通常総代会を開き、役員の改選を行った。吉田文彦会長、山口浩聡理事長らが再任された。,,"<p>【ＪＡえちご中越　役員】（敬称略）</p>
<p>▽経営管理委員会会長　吉田文彦</p>
<p>▽経営管理委員会副会長　野口剛</p>
<p>▽代表理事理事長　山口浩聡</p>
<p>▽代表理事専務　丸山健司</p>
<p>▽常務理事（総務管理担当）　松浦和彦</p>
<p>▽常務理事（金融共済担当）　大桃富雄</p>
<p>▽常務理事（営農経済担当）　難波英洋</p>
<p>▽常勤監事　大倉常栄</p>
<p>※吉田文彦氏の「吉」の字は正式には異体字です</p>"
240610-74651,【人事異動】（一社）全国農協観光協会（6月7日）　会長に篠原ホクレン会長,202406101246,JAの人事,,,,,,,jinji/images/JINJI01_1600_900.jpg,,（一社）全国農協観光協会は6月7日に東京・大手町のＪＡビルで定時総会を開き、決算などを承認するとともに役員を選任した。,,"<p>総会で理事・監事を選任した後、理事会で役付役員を選任した。</p>
<p>▽代表理事会長　篠原末治（ホクレン農業協同組合連合会代表理事会長）</p>
<p>▽副会長理事　神農佳人（ＪＡ長野中央会代表理事会長）</p>
<p>▽代表理事専務　横村彰一（学識経験者）</p>"
240610-74652,【人事異動】ＪＡ全中（7月1日付）,202406101456,JAの人事,,,,,,,jinji/images/JA1600_900.jpg,,ＪＡ全中は6月7日、7月1日付の人事異動を発表した。,,"<p>▽ＪＡ情報システム対策部次長（みのり監査法人）杉林剛</p>
<p>▽ＪＡ改革・組織基盤対策部くらし・高齢者対策課課長兼女性組織対策室室長（総務企画部業務管理課担当課長）奈良千尋</p>
<p>▽出向　みのり監査法人（ＪＡ経営対策部担当課長）西本雅直</p>
<p> </p>"
240610-74654,【ＪＡ人事】ＪＡ十勝池田町（北海道）　鈴木組合長を再任（5月15日）,202406101301,JAの人事,"北海道,単協",,,,北海道,,jinji/images/69ff3dad900015367e518a5ef6aff1bb.jpg,,ＪＡ十勝池田町は5月15日に総会を開き、役員の改選を行った。鈴木雅博組合長が再任された。,,"<p>【ＪＡ十勝池田町　役員】<br />（敬称略）</p>
<p>▽代表理事組合長　鈴木雅博</p>
<p>▽副組合長理事　増野隆教（新任）</p>
<p>▽副組合長理事　角（※）谷秀隆（新任）（※は異体字）</p>
<p>▽常務理事　大塚節</p>
<p>▽使用人兼務理事　折笠大輔</p>
<p>▽信用担当理事　遠藤泰志（新任）</p>
<p>▽代表監事・常勤監事　髙橋敦</p>"
240611-74655,【ＪＡ人事】ＪＡいわて中央（岩手県）新組合長に佐々木雅博氏（5月30日）,202406111300,JAの人事,"単協,岩手県",,,,岩手県,,jinji/images/4616b8a699f6b860bd1f5b65b30a3b79.jpg,,ＪＡいわて中央（岩手県）は5月30日に総代会を開き、役員の改選を行った。浅沼清一氏に代わって、佐々木雅博組合長が選任された。,,"<p class=""imgRight""><img alt=""ＪＡいわて中央代表理事組合長　佐々木雅博氏"" src=""https://www.jacom.or.jp/jinji/images/b8736ccc769750dcdc10efc4db225e4a.jpg"" width=""200"" height=""300"" /><span class=""imgRight__cap"" style=""color: #808080; font-size: 12px; display: block; text-align: center;"">ＪＡいわて中央代表理事組合長<br />佐々木雅博氏</span></p>
<p>【ＪＡＪＡいわて中央　役員】<br />（敬称略）</p>
<p>▽代表理事組合長　佐々木雅博（新任）</p>
<p>▽代表理事専務　佐々木正春（新任）</p>
<p>▽常務理事（営農経済担当）　菅原弘範（新任）</p>
<p>▽常務理事（金融共済担当）　阿部康博（新任）</p>
<p>▽代表監事　阿部栄一（新任）</p>
<p>▽常勤監事　小岩裕基（新任）</p>
<p>【新組合長略歴】<br />平成3年7月　紫波町議会議員<br />平成23年7月　紫波町議会副議長<br />平成24年2月　岩手中央農業協同組合青色申告会協議会会長<br />平成28年3月　岩手中央農業協同組合野菜部会部会長<br />平成30年5月　岩手中央農業協同組合非常勤理事<br />令和3年5月　岩手中央農業協同組合代表理事専務</p>"
240611-74677,【役員人事】農中信託銀行（6月24日付）,202406111026,JAの人事,,,,,,,jinji/images/76074a12c538a9f394edc48c0d8e565e_1.jpg,,農中信託銀行は、6月24日付の役員人事を発表した。,,"<p class=""imgRight""><img alt=""新会長に就任する湯田氏"" src=""https://www.jacom.or.jp/jinji/images/5188df02fa4c2f0d57fd296538a687eb.jpg"" width=""200"" height=""300"" /><span class=""imgRight__cap"" style=""color: #808080; font-size: 14px; display: block; text-align: center;"">新会長に就任する湯田氏</span></p>
<p>【新任】<br /> ▽取締役会長　湯田博（顧問）</p>
<p>※敬称略</p>"
240613-74726,【ＪＡ人事】ＪＡ佐波伊勢崎（群馬県）新組合長に重田茂氏（6月4日）,202406131300,JAの人事,"単協,群馬県",,,,群馬県,,jinji/images/6970aa495309a3fb0a34badc9cbc51f2.jpg,,ＪＡ佐波伊勢崎（群馬県）は6月4日に第31回総代会を開き、役員の改選を行った。森村孝利氏に代わって、重田茂組合長が選任された。,,"<p class=""imgRight""><img alt=""ＪＡ佐波伊勢崎"" src=""https://www.jacom.or.jp/jinji/images/31704a3ed245702e911f635fe5faae39.jpg"" width=""200"" height=""300"" /><span class=""imgRight__cap"" style=""color: #808080; font-size: 14px; display: block; text-align: center;"">重田茂　新組合長</span></p>
<p>【ＪＡ佐波伊勢崎　役員】<br />（敬称略）</p>
<p>▽代表理事組合長　重田茂（新任）</p>
<p>▽代表理事副組合長　松浦好一（新任）</p>
<p>▽統括常務理事　川端芳明</p>
<p>▽金融担当常務理事　大和孝史（新任）</p>
<p>▽代表監事　羽鳥誠（新任）</p>
<p>▽常勤監事　伊藤浩（新任）</p>"
240617-74776,【人事異動】デンカ（7月1日付）,202406170957,JAの人事,,,,,,,jinji/images/97bca9b76c0852cb0286bcc48b541691.jpg,,デンカは、7月1日付の人事異動を発表した。,,"<p>【新任】<br /> ▽エラストマー・インフラソリューション部門ポリマーソリューション部門　有機材料研究部長（電子・先端プロダクツ部門／エラストマー・インフラソリューション部門／ポリマーソリューション部門高分子研究部長　兼　ポリマーソリューション部門ケミカルリサイクル推進プロジェクト研究グループリーダー）吉田準<br /> ▽電子・先端プロダクツ部門エラストマー・インフラソリューション部門ポリマーソリューション部門　高分子研究部長　兼ケミカルリサイクル推進プロジェクト研究グループリーダー（エラストマー・インフラソリューション部門／ポリマーソリューション部門有機材料研究部長）西野広平<br /> ▽DSAM　Denka SCGC Advanced MaterialsCo., Ltd Managing Director（電子・先端プロダクツ部門AB第4拠点検討プロジェクト部）恒川幸弘</p>
<p>※敬称略</p>"
240618-74789,【役員人事】朝日アグリア（6月27日付）,202406180939,JAの人事,,,,,,,jinji/images/c5fb2ae8efcd65b9dae9d9e46ceb87ce.jpg,,"朝日アグリア株式会社は、6月27日付けの新役員候補について公表した。なお、役員人事については6月27日開催の「第4期定時株主総会」並びに同株主総会終了後の取締役会にて正式決定となる。
",,"<p>【新任】<br /> ▽専務取締役 経営全般社長を補佐 管理部長　関根傑<br /> ▽常務執行役員 事業戦略部 購買部 牧草部管掌（執行役員 事業戦略部 購買部 牧草部管掌）久保善彦<br /> ▽執行役員 営業統括部営業六部長（営業統括部営業六部長）久保浩二</p>
<p>【退任】<br /> ▽相談役（取締役 相談役）村上政徳</p>
<p>敬称略<br /> カッコ内は旧職</p>"
240618-74805,【人事異動】アリスタライフサイエンス（6月3日付）,202406180920,JAの人事,,,,,,,jinji/images/444a686edce8b177cc477e5e3e32bfa3.jpg,,アリスタライフサイエンス株式会社は、2023年度の定時株主総会にて役員を新たに選出した。,,"<p>▽取締役　営業本部長 梶田信明（新任）</p>
<p>（取締役　上田泰久は退任）</p>
<p>※敬称略</p>"
240618-74812,【人事異動】農林水産省（6月18日付）,202406181038,JAの人事,農水省,,,,,,jinji/images/ad7a7f33d9a4f7033ef2b0802e71196c.jpg,,農林水産省は6月17日、18日付の人事異動を発表した。,,"<p>▽農林水産技術会議事務局研究調整課付　退職（国立研究開発法人農業・食品産業技術総合研究機構本部企画戦略本部研究管理役兼本部知的財産部）櫻谷満一</p>
<p> </p>"
240618-74813,【ＪＡ人事】ＪＡ佐渡（新潟県）　永井充会長を再任（5月25日）,202406181338,JAの人事,"単協,新潟県",,,,新潟県,,jinji/images/d5510307b5ad291171d9431dd7edd193.jpg,,ＪＡ佐渡（新潟県）は5月25日の総代会で役員の改選を行い、永井充会長をはじめ役員（常勤）を再任した。,,"<p>【ＪＡ佐渡　役員】（敬称略）</p>
<p>▽会長　永井充</p>
<p>▽副会長　石川秀之</p>
<p>▽代表理事理事長　竪野信</p>
<p>▽代表理事専務　安田慎太郎</p>
<p>▽常務理事　細野健一</p>
<p>▽常務理事　松井和幸</p>
<p>▽代表監事　織田照幸</p>"
240620-74867,【ＪＡ人事】ＪＡにしみの（岐阜県）新組合長に玉井寛之氏（6月19日）,202406201300,JAの人事,"単協,岐阜県",,,,岐阜県,,jinji/images/47de8b7d7f40509ec303ad46bb805a44.jpg,,ＪＡにしみの（岐阜県）は6月19日に第25回通常総代会を開き、役員の改選を行った。小林徹氏に代わって、玉井寛之組合長が選任された。,,"<p class=""imgRight""><img alt=""ＪＡにしみの代表理事組合長　玉井寛之氏"" src=""https://www.jacom.or.jp/jinji/images/04033ad4ddc78428cf402a7c7f2af679.jpg"" width=""200"" height=""300"" /><span class=""imgRight__cap"" style=""color: #808080; font-size: 14px; display: block; text-align: center;"">ＪＡにしみの代表理事組合長<br />玉井寛之氏</span></p>
<p>【ＪＡにしみの役員】<br />（敬称略）</p>
<p>▽代表理事組合長　玉井寛之（新任）</p>
<p>▽代表理事専務　名和善昭（新任）</p>
<p>▽常務理事（総務）　近沢一成</p>
<p>▽常務理事（金融）　田中太一（新任）</p>
<p>▽常務理事（営農経済）　吉田智宏（新任）</p>
<p>▽代表・常勤監事　中村文威（新任）</p>
<p>【新組合長略歴】<br />昭和32年3月生まれ。67歳。<br />昭和53年　垂井町農協入組<br />平成14年　西美濃農協垂井東支店長、<br />平成17年　同企画管理課長兼ふれあい課（現：地域ふれあい課長）<br />平成19年　同垂井支店金融共済課長<br />平成24年　同監査室長<br />平成25年　同監査部長<br />平成27年　同常務理事（金融）<br />平成30年　同代表理事専務<br />令和6年6月　現職</p>"
240621-74870,【ＪＡ人事】ＪＡ里浦（徳島県）平田敏組合長を再任（6月20日）,202406211300,JAの人事,"単協,徳島県",,,,徳島県,,jinji/images/cf2ee9858cd38acf2bfc2d34fe86b6aa.jpg,,ＪＡ里浦（徳島県）は6月20日に第52回総会を開き、役員の改選を行った。平田敏組合長が再任された。,,"<p>【ＪＡ里浦　役員】<br />（敬称略）</p>
<p>▽代表理事組合長　平田敏</p>"
240621-74871,【ＪＡ人事】ＪＡ碓氷安中（群馬県）新組合長に戸塚勉氏（5月31日）,202406211300,JAの人事,"単協,群馬県",,,,群馬県,,jinji/images/6a0a0e51842681afd423bf8d8d276e39.jpg,,ＪＡ碓氷安中（群馬県）は5月31日に総会を開き、役員の改選を行った。戸塚勉組合長が選任された。,,"<p>【ＪＡ碓氷安中　役員】<br />（敬称略）</p>
<p>▽代表理事組合長　戸塚勉（新任）</p>
<p>▽代表理事常務　佐藤茂</p>
<p>▽常務理事　白井仁美</p>
<p>▽代表監事　須藤邦彦</p>
<p>▽常勤監事　有阪保彦（新任）</p>"
240621-74886,【人事異動】J‐オイルミルズ（7月1日付）,202406210954,JAの人事,,,,,,,jinji/images/57eaacbbee4dca327f8cef8470326aaf.jpg,,J‐オイルミルズは、7月1日付の人事異動を発表した。,,"<p>【異動】<br /> ▽理事　事業本部業務用油脂マーケティング部長（事業本部業務用油脂マーケティング部長）柏原章人<br /> ▽理事　事業本部営業戦略部長（事業本部営業戦略部長）杉本慶<br /> ▽理事　R&amp;D・生産本部静岡事業所長（R&amp;D・生産本部静岡事業所長）上原誠<br /> ▽理事　経営企画部長（法務・総務部長）中林明彦<br /> ▽理事　経営推進部長（経営推進部長）西山愛依子</p>
<p>※敬称略</p>"
240621-74900,【人事異動】農水省（6月24日付）,202406211641,JAの人事,農水省,,,,,,jinji/images/ad7a7f33d9a4f7033ef2b0802e71196c.jpg,,農林水産省は6月21日、24日付の人事異動を発表した。,,<p>▽輸出・国際局国際地域課国際交渉官（農産局総務課課長補佐）稲葉久美子</p>
240624-74923,【人事異動】北興化学工業（7月1日付）,202406241109,JAの人事,,,,,,,jinji/images/13f406134104483f9beb9ce0ebf02cc3.jpg,,北興化学工業株式会社は、7月1日付で、下記の通り人事異動を行うことを発表した。,,"<p>▽内部監査チームマネージャー（経理部会計チームマネージャー）佐川直登<br />▽企画部企画チームリーダー（新潟工場事務チーム主事）伊藤幸太郎<br />▽人事部人事チームマネージャー　兼　出向　北興化学企業年金基金（内部監査チームマネージャー）吉田光輝<br />▽経理部会計チームマネージャー（企画部企画チームマネージャー）榎本鋭<br />▽製造部生産チームリーダー（製造部生産チーム主事）倉嶋渉<br />▽製造部資材調達チームリーダー（新潟工場事務チーム主事）　田中徹<br />▽ファインケミカル開発営業部第3チームマネージャー（ファインケミカル開発営業部第3チーム副参事）渡邊義人<br />▽ファインケミカル企画業務部開発管理チームマネージャー（岡山工場ファインケミカル生産技術研究部長）正岡伸<br />▽開発研究所創製研究部創製研究第2チームリーダー（開発研究所創製研究部創製研究第1チーム主事）小林優太<br />▽仙台支店販売チームマネージャー秋田駐在　兼　秋田県担当（東京支店販売チーム　群馬県担当　副参事）伊藤玲<br />▽仙台支店販売チームリーダー　兼　宮城県担当（仙台支店販売チーム　宮城県担当　主事）宮崎六平<br />▽西日本支店副支店長　兼　普及担当（西日本支店　北陸営業チームマネージャー　兼　普及担当）桜井多加志<br />▽西日本支店北陸営業チームマネージャー　兼　富山県担当（西日本支店北陸営業チーム　富山県担当　副参事）保坂浩司<br />▽西日本支店四国営業チームリーダー　兼　愛媛県担当（営業部販売普及チーム主事）山口宗利<br />▽北海道工場事務チームマネージャー　兼　物流・業務チームマネージャー（北海道工場生産チームマネージャー）北田国樹<br />▽北海道工場環境安全チームマネージャー　兼　品質保証チームマネージャー（開発研究所製剤研究部製造技術研究チーム　北海道工場駐在　兼　北海道工場品質保証チームマネージャー）武貞徹<br />▽北海道工場生産チームリーダー（北海道工場生産チーム主事）小林寿雄<br />▽新潟工場生産チームマネージャー（製造部生産チームマネージャー）佐藤誠<br />▽岡山工場ファインケミカル製造部合成第1チームマネージャー（岡山工場ファインケミカル製造部合成第2チームマネージャー）永井明義<br />▽岡山工場ファインケミカル製造部合成第2チームマネージャー（新潟工場生産チームマネージャー）久山美典<br />▽岡山工場ファインケミカル生産技術研究部長（岡山工場ファインケミカル生産技術研究部第1研究チームマネージャー）青木健治<br />▽岡山工場ファインケミカル生産技術研究部第1研究チームマネージャー（岡山工場ファインケミカル生産技術研究部第2研究チームマネージャー）前原伸也<br />▽岡山工場ファインケミカル生産技術研究部第2研究チームマネージャー（岡山工場ファインケミカル製造部合成第1チームマネージャー）菊地俊光</p>
<p>（敬称略）<br />※括弧内は旧職<br />※宮崎六平氏の「崎」の字は正式には異体字</p>"
240624-74926,【ＪＡ人事】ＪＡ京都中央（京都府）田村義明組合長を再任（6月20日）,202406241300,JAの人事,"京都府,単協",,,,京都府,,jinji/images/628d19ae2792f81170bbea733ee2ed77.jpg,,ＪＡ京都中央（京都府）は6月20日に第28回総代会を開き、役員の改選を行った。田村義明組合長が再任された。,,"<p>【ＪＡ京都中央　役員】<br />（敬称略）</p>
<p>▽代表理事組合長　田村義明</p>
<p>▽副組合長理事　長谷川博司（新任）</p>
<p>▽代表理事専務　中井勝司（新任）</p>
<p>▽常務理事　上総学（新任）</p>
<p>▽常務理事　吉田太（新任）</p>
<p>▽代表監事　小幡正雄（新任）</p>
<p>▽常勤監事　丸橋一弥（新任）</p>
<p><a href=""https://www.jacom.or.jp/special/personnel/2024/""><img alt=""人事"" src=""https://www.jacom.or.jp/jinji/images/cd0a2488ebebf231b8deb92fcf15eb84.png"" width=""728"" height=""91"" class=""mt-image-center"" /></a></p>"
240624-74927,【ＪＡ人事】ＪＡあしきた（熊本県）白坂主税組合長を再任（6月21日）,202406241300,JAの人事,"単協,熊本県",,,,熊本県,,jinji/images/a2e4175bda67b666ca5140379eabbfff.jpg,,ＪＡあしきた（熊本県）は6月21日に第31回総代会を開き、役員の改選を行った。白坂主税組合長が再任された。,,"<p>【ＪＡあしきた　役員】<br />（敬称略）</p>
<p>▽代表理事組合長　白坂主税</p>
<p>▽常務理事　田畑和雄</p>
<p>▽常務理事　丸山一三</p>
<p>▽会長理事　丁道夫</p>
<p>▽代表監事　農上八郎（新任）</p>
<p>▽常勤監事　松田道夫</p>
<p><a href=""https://www.jacom.or.jp/special/personnel/2024/""><img alt=""人事"" src=""https://www.jacom.or.jp/jinji/images/cd0a2488ebebf231b8deb92fcf15eb84.png"" width=""728"" height=""91"" class=""mt-image-center"" /></a></p>"
240624-74928,【ＪＡ人事】ＪＡ兵庫南（兵庫県）新組合長に野村隆幸氏（6月22日）,202406241300,JAの人事,"兵庫県,単協",,,,兵庫県,,jinji/images/15ffa181bf5ae847412bb0e14aa5e0d4.jpg,,ＪＡ兵庫南（兵庫県）は6月22日に第25回総代会を開き、役員の改選を行った。中村良祐氏に代わって、野村隆幸組合長が選任された。,,"<p>【ＪＡ兵庫南　役員】<br />（敬称略）</p>
<p>▽代表理事組合長　野村隆幸（新任）</p>
<p>▽代表理事専務　大西秀人（新任）</p>
<p>▽常務理事　青木計樹</p>
<p>▽常務理事　北川正之（新任）</p>
<p>▽代表監事　田中真洋（新任）</p>
<p>▽常勤監事　上田正人</p>
<p><a href=""https://www.jacom.or.jp/special/personnel/2024/""><img alt=""人事"" src=""https://www.jacom.or.jp/jinji/images/cd0a2488ebebf231b8deb92fcf15eb84.png"" width=""728"" height=""91"" class=""mt-image-center"" /></a></p>"
240624-74929,【ＪＡ人事】ＪＡめむろ（北海道）廣江英幸組合長を再任（6月14日）,202406241300,JAの人事,"北海道,単協",,,,北海道,,jinji/images/607e988cc660b73469e216b0cdbcbe0c.jpg,,ＪＡめむろ（北海道）は6月14日に第29回総会を開き、役員の改選を行った。廣江英幸組合長が再任された。,,"<p>【ＪＡめむろ　役員】<br />（敬称略）</p>
<p>▽会長　宇野克彦</p>
<p>▽代表理事組合長　廣江英幸</p>
<p>▽代表理事専務　堀井和宏（新任）</p>
<p>▽常務理事　道場琢也</p>
<p>▽代表監事　大野泰裕（新任）</p>
<p>▽常勤監事　柿川明則（新任）</p>
<p><a href=""https://www.jacom.or.jp/special/personnel/2024/""><img alt=""人事"" src=""https://www.jacom.or.jp/jinji/images/cd0a2488ebebf231b8deb92fcf15eb84.png"" width=""728"" height=""91"" class=""mt-image-center"" /></a></p>"
240625-74949,【人事異動】農林中金全共連アセットマネジメント（6月24日付）,202406250953,JAの人事,,,,,,,jinji/images/jinj20062913.jpg,,農林中金全共連アセットマネジメントは、6月24日付の人事異動を発表した。,,"<p>【新任】<br /> ▽代表取締役副社長（専務取締役）依田哲也<br /> ▽専務取締役（参与）加藤正浩</p>
<p>※敬称略</p>"
240625-74958,【人事異動】ＪＡ全農（6月26日付）,202406251625,JAの人事,,,,,,,jinji/images/c9d0031ac74b642c40483d234d62a28b.jpg,,ＪＡ全農は、6月26日付の人事異動を発表した。,,"<p>【異動】<br /> ▽本所総務人事部人事課出向全農エネルギー株式会社（本所総合エネルギー部事業システム課課長）廣谷尚樹</p>
<p>※敬称略</p>"
240625-74959,【人事異動】ＪＡ全農（6月29日付）,202406251625,JAの人事,,,,,,,jinji/images/c9d0031ac74b642c40483d234d62a28b.jpg,,ＪＡ全農は、6月29日付の人事異動を発表した。,,"<p>【異動】<br /> ▽滋賀県本部長（参事）（滋賀県本部副本部長）山田純男</p>
<p>※敬称略</p>"
